,DATA,Nº DE LEITOS UTI,Nº DE LEITOS  ENFERMARIA ,INTERNADOS,UTI SUS,ENFERMARIA SUS,UTI PRIVADO,ENFERMARIA PRIVADO
0,2021-05-10,416.0,562.0,814.0,225.0,236.0,157.0,196.0
1,2021-05-09,422.0,572.0,813.0,219.0,231.0,154.0,209.0
2,2021-05-08,422.0,572.0,823.0,218.0,239.0,160.0,206.0
3,2021-05-07,430.0,580.0,831.0,227.0,245.0,163.0,196.0
4,2021-05-06,429.0,580.0,816.0,224.0,240.0,167.0,185.0
5,2021-05-05,431.0,550.0,786.0,226.0,210.0,162.0,188.0
6,2021-05-04,431.0,550.0,800.0,228.0,224.0,171.0,177.0
7,2021-05-03,433.0,550.0,834.0,229.0,237.0,185.0,183.0
8,2021-05-02,433.0,550.0,834.0,223.0,230.0,187.0,194.0
9,2021-05-01,433.0,550.0,835.0,220.0,234.0,190.0,191.0
10,2021-04-30,433.0,550.0,866.0,229.0,249.0,183.0,205.0
11,2021-04-29,431.0,550.0,865.0,228.0,240.0,189.0,208.0
12,2021-04-28,431.0,550.0,816.0,227.0,205.0,188.0,196.0
13,2021-04-27,431.0,550.0,801.0,227.0,200.0,193.0,181.0
14,2021-04-26,433.0,550.0,810.0,226.0,214.0,197.0,173.0
15,2021-04-25,433.0,550.0,807.0,222.0,215.0,186.0,184.0
16,2021-04-24,433.0,550.0,836.0,227.0,227.0,187.0,195.0
17,2021-04-23,433.0,550.0,847.0,220.0,231.0,194.0,202.0
18,2021-04-22,433.0,550.0,847.0,224.0,237.0,188.0,198.0
19,2021-04-21,424.0,550.0,843.0,225.0,239.0,192.0,187.0
20,2021-04-20,417.0,550.0,837.0,218.0,239.0,195.0,185.0
21,2021-04-19,418.0,561.0,838.0,218.0,240.0,193.0,187.0
22,2021-04-18,421.0,561.0,843.0,215.0,238.0,188.0,202.0
23,2021-04-17,421.0,561.0,851.0,218.0,236.0,190.0,207.0
24,2021-04-16,421.0,567.0,861.0,220.0,242.0,179.0,220.0
25,2021-04-15,421.0,539.0,847.0,220.0,209.0,189.0,229.0
26,2021-04-14,421.0,539.0,845.0,210.0,206.0,183.0,246.0
27,2021-04-13,404.0,536.0,837.0,220.0,193.0,185.0,239.0
28,2021-04-12,404.0,536.0,836.0,214.0,197.0,189.0,236.0
29,2021-04-11,404.0,536.0,821.0,211.0,198.0,166.0,246.0
30,2021-04-10,394.0,530.0,831.0,210.0,203.0,169.0,249.0
31,2021-04-09,394.0,530.0,819.0,206.0,194.0,176.0,243.0
32,2021-04-08,394.0,525.0,828.0,204.0,204.0,173.0,247.0
33,2021-04-07,394.0,521.0,812.0,214.0,199.0,160.0,239.0
34,2021-04-06,394.0,521.0,825.0,217.0,206.0,169.0,233.0
